date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:39:26	594/594	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Fri,%2006%20Nov%202020%2002:39:25%20GMT	https://app.usocialbot.com/robots.txt		(from )
03:39:26	4904/4904	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:39:26%20GMT	https://app.usocialbot.com/	app.usocialbot.com/index.html	(from )
03:39:26	5477/5477	---M--	200	added ('OK')	image/png	etag:%225d4141bc-1565%22	https://app.usocialbot.com/assets/img/favicon.png	app.usocialbot.com/assets/img/favicon.png	(from https://app.usocialbot.com/)
03:39:28	140936/140936	---M--	200	added ('OK')	text/css	etag:%225c6462dc-22688%22	https://app.usocialbot.com/assets/modules/bootstrap/css/bootstrap.min.css	app.usocialbot.com/assets/modules/bootstrap/css/bootstrap.min.css	(from https://app.usocialbot.com/)
03:39:28	28062/28062	---M--	200	added ('OK')	text/css	etag:%225cc861fa-6d9e%22	https://app.usocialbot.com/assets/modules/bootstrap-social/bootstrap-social.css	app.usocialbot.com/assets/modules/bootstrap-social/bootstrap-social.css	(from https://app.usocialbot.com/)
03:39:29	55111/55111	---M--	200	added ('OK')	text/css	etag:%225c93651c-d747%22	https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css	app.usocialbot.com/assets/modules/fontawesome/css/all.min.css	(from https://app.usocialbot.com/)
03:39:30	26625/26625	---M--	200	added ('OK')	text/css	etag:%225c93651c-6801%22	https://app.usocialbot.com/assets/modules/fontawesome/css/v4-shims.min.css	app.usocialbot.com/assets/modules/fontawesome/css/v4-shims.min.css	(from https://app.usocialbot.com/)
03:39:32	127503/127503	---M--	200	added ('OK')	text/css	etag:%225d22d326-1f20f%22	https://app.usocialbot.com/assets/css/style.css	app.usocialbot.com/assets/css/style.css	(from https://app.usocialbot.com/)
03:39:33	211406/211406	---M--	200	added ('OK')	text/css	etag:%225cb5b7fc-339ce%22	https://app.usocialbot.com/assets/css/components.css	app.usocialbot.com/assets/css/components.css	(from https://app.usocialbot.com/)
03:39:33	15733/15733	---M--	200	added ('OK')	text/css	etag:%225e9c5c58-3d75%22	https://app.usocialbot.com/assets/css/custom.css	app.usocialbot.com/assets/css/custom.css	(from https://app.usocialbot.com/)
03:39:35	86658/86658	---M--	200	added ('OK')	application/javascript	etag:%225c6462dc-15282%22	https://app.usocialbot.com/assets/modules/jquery.min.js	app.usocialbot.com/assets/modules/jquery.min.js	(from https://app.usocialbot.com/)
03:39:35	40802/40802	---M--	200	added ('OK')	application/javascript	etag:%225c6462dc-9f62%22	https://app.usocialbot.com/assets/modules/sweetalert/sweetalert.min.js	app.usocialbot.com/assets/modules/sweetalert/sweetalert.min.js	(from https://app.usocialbot.com/)
03:39:36	23024/23024	---M--	200	added ('OK')	image/png	etag:%225f68d222-59f0%22	https://app.usocialbot.com/assets/img/logo.png	app.usocialbot.com/assets/img/logo.png	(from https://app.usocialbot.com/)
03:39:37	3858/3858	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:39:37%20GMT	https://app.usocialbot.com/home/forgot_password	app.usocialbot.com/home/forgot_password.html	(from https://app.usocialbot.com/)
03:39:38	4436/4436	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:39:38%20GMT	https://app.usocialbot.com/home/sign_up	app.usocialbot.com/home/sign_up.html	(from https://app.usocialbot.com/)
03:39:39	14336/14336	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2006%20Nov%202020%2002:39:39%20GMT	https://app.usocialbot.com//affiliate_master/affiliate_js_code	app.usocialbot.com/affiliate_master/affiliate_js_code	(from https://app.usocialbot.com/)
03:39:41	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c93651c-1fb7c%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.eot	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.eot	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:42	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c93651c-1fb7c%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.eot?	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:42	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%225c93651c-12410%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.woff2	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.woff2	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:43	87688/87688	---M--	200	added ('OK')	application/font-woff	etag:%225c93651c-15688%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.woff	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.woff	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:45	129612/129612	---M--	200	added ('OK')	application/font-sfnt	etag:%225c93651c-1fa4c%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.ttf	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.ttf	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:48	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c93651c-8654%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.eot	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.eot	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:49	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c93651c-8654%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.eot?	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:50	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%225c93651c-34f0%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.woff2	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.woff2	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:51	16804/16804	---M--	200	added ('OK')	application/font-woff	etag:%225c93651c-41a4%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.woff	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.woff	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:52	34092/34092	---M--	200	added ('OK')	application/font-sfnt	etag:%225c93651c-852c%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.ttf	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.ttf	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:54	144451/144451	---M--	200	added ('OK')	image/svg+xml	etag:%225c93651c-23443%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.svg	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-regular-400.svg	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:54	694583/694583	---M--	200	added ('OK')	image/svg+xml	etag:%225c93651c-a9937%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.svg	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-brands-400.svg	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:39:55	186728/186728	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c93651c-2d968%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-solid-900.eot	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-solid-900.eot	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
